players,nation,name,full_names,r1,r2
CA Pujara,India,Cheteshwar Pujara,Cheteshwar Arvind Pujara,C Pujara,CA Pujara
KV Jain,India,Karu Jain,Karuna Vijaykumar Jain,K Jain,KV Jain
A Mishra,India,Amit Mishra,Amit Mishra,A Mishra,Amit Mishra
Harbhajan Singh,India,Harbhajan Singh,Harbhajan Singh,H Singh,Harbhajan Singh
SL Pujare,India,Seema Pujare,Seema Laxman Pujare,S Pujare,SL Pujare
Mohammed Siraj,India,Mohammed Siraj,Mohammed Siraj,M Siraj,Mohammed Siraj
S Rana,India,Sneh Rana,0,S Rana,0
A Kumble,India,Anil Kumble,Anil Kumble,A Kumble,Anil Kumble
Umran Malik,India,Umran Malik,Umran Malik,U Malik,Umran Malik
RA Jadeja,India,Ravindra Jadeja,Ravindrasinh Anirudhsinh Jadeja,R Jadeja,RA Jadeja
MDT Kamini,India,Thirush Kamini,Murugesan Dickeshwashankar Thirush Kamini,T Kamini,MDT Kamini
S Dhawan,India,Shikhar Dhawan,Shikhar Dhawan,S Dhawan,Shikhar Dhawan
A Mithun,India,Abhimanyu Mithun,Abhimanyu Mithun,A Mithun,Abhimanyu Mithun
Shahbaz Ahmed,India,Shahbaz Ahmed,Shahbaz Ahmed,S Ahmed,Shahbaz Ahmed
KR Sen,India,Kuldeep Sen,Kuldeep Rampal Sen,K Sen,KR Sen
S Sriram,India,Sridharan Sriram,Sridharan Sriram,S Sriram,Sridharan Sriram
J Sharma,India,Joginder Sharma,Joginder Sharma ,J Sharma,JS 
M Raj,India,Mithali Raj,Mithali Dorai Raj,M Raj,MD Raj
A Chopra,India,Aakash Chopra,Aakash Chopra ,A Chopra,AC 
R Kanojiya,India,Rashi Kanojiya,Rashi Ashokumar Kanojiya,R Kanojiya,RA Kanojiya
H Deol,India,Harleen Deol,Harleen Kaur Deol,H Deol,HK Deol
M Joshi,India,Mansi Joshi,Mansi Joshi,M Joshi,Mansi Joshi
KD Karthik,India,Dinesh Karthik,Krishnakumar Dinesh Karthik,D Karthik,KD Karthik
Yuvraj Singh,India,Yuvraj Singh,Yuvraj Singh,Y Singh,Yuvraj Singh
R Dhawan,India,Rishi Dhawan,Rishi Dhawan,R Dhawan,Rishi Dhawan
Soniya Dabir,India,Soniya Dabir,Soniya Dabir,S Dabir,Soniya Dabir
KK Nair,India,Karun Nair,Karun Kaladharan Nair,K Nair,KK Nair
Preeti Bose,India,Preeti Bose,Preeti Bose,P Bose,Preeti Bose
M Kaif,India,Mohammad Kaif,Mohammad Kaif ,M Kaif,MK 
AA Deshpande,India,Anagha Deshpande,Anagha Arun Deshpande,A Deshpande,AA Deshpande
SV Samson,India,Sanju Samson,Sanju Viswanath Samson,S Samson,SV Samson
A Reddy,India,Arundhati Reddy,Arundhati Reddy,A Reddy,Arundhati Reddy
YH Bhatia,India,Yastika Bhatia,Yastika Harish Bhatia,Y Bhatia,YH Bhatia
I Sharma,India,Ishant Sharma,Ishant Sharma,I Sharma,Ishant Sharma
MH Sumra,India,Monica Sumra,Monica Harish Sumra,M Sumra,MH Sumra
A Mukund,India,Abhinav Mukund,Abhinav Mukund,A Mukund,Abhinav Mukund
MK Pandey,India,Manish Pandey,Manish Krishnanand Pandey,M Pandey,MK Pandey
STR Binny,India,Stuart Binny,Stuart Terence Roger Binny,S Binny,STR Binny
Avesh Khan,India,Avesh Khan,Avesh Khan,A Khan,Avesh Khan
Parvez Rasool,India,Parvez Rasool,Parvez Ghulam Rasool Zargar,P Rasool,PGR Zargar
KS Ahuja,India,Kanika Ahuja,Kanika S Ahuja,K Ahuja,KS Ahuja
S Badrinath,India,Subramaniam Badrinath,Subramaniam Badrinath,S Badrinath,Subramaniam Badrinath
M Mani,India,Minnu Mani,Minnu Mani,M Mani,Minnu Mani
DS Kulkarni,India,Dhawal Kulkarni,Dhawal Sunil Kulkarni,D Kulkarni,DS Kulkarni
AT Rayudu,India,Ambati Rayudu,Ambati Thirupathi Rayudu,A Rayudu,AT Rayudu
C Sakariya,India,Chetan Sakariya,Chetan Sakariya,C Sakariya,Chetan Sakariya
Ravi Bishnoi,India,Ravi Bishnoi,Ravi Bishnoi,R Bishnoi,Ravi Bishnoi
H Kaur,India,Harmanpreet Kaur,Harmanpreet Kaur,H Kaur,Harmanpreet Kaur
MA Agarwal,India,Mayank Agarwal,Mayank Anurag Agarwal,M Agarwal,MA Agarwal
PP Shaw,India,Prithvi Shaw,Prithvi Pankaj Shaw,P Shaw,PP Shaw
S Nadeem,India,Shahbaz Nadeem,Shahbaz Nadeem,S Nadeem,Shahbaz Nadeem
RD Chahar,India,Rahul Chahar,Rahul Desraj Chahar,R Chahar,RD Chahar
Pankaj Singh,India,Pankaj Singh,Pankaj Singh,P Singh,Pankaj Singh
KP Navgire,India,Kiran Navgire,Kiran Prabhu Navgire,K Navgire,KP Navgire
DP Vaidya,India,Devika Vaidya,Devika Purnendu Vaidya,D Vaidya,DP Vaidya
Mohammed Shami,India,Mohammed Shami,Mohammed Shami,M Shami,Mohammed Shami
A Nehra,India,Ashish Nehra,Ashish Nehra,A Nehra,Ashish Nehra
YBK Jaiswal,India,Yashasvi Jaiswal,Yashasvi Bhupendra Kumar Jaiswal,Y Jaiswal,YBK Jaiswal
KL Rahul,India,KL Rahul,Kannanur Lokesh Rahul,K Rahul,KL Rahul
S Mandhana,India,Smriti Mandhana,Smriti Shriniwas Mandhana,S Mandhana,SS Mandhana
Joginder Sharma,India,Joginder Sharma,Joginder Sharma ,J Sharma,JS 
S Sharma,India,Sanjeev Sharma,Sanjeev Sharma ,S Sharma,SS 
R Ashwin,India,Ravichandran Ashwin,Ravichandran Ashwin,R Ashwin,Ravichandran Ashwin
SC Ganguly,India,Sourav Ganguly,Sourav Chandidas Ganguly,S Ganguly,SC Ganguly
JJ Bumrah,India,Jasprit Bumrah,Jasprit Jasbirsingh Bumrah,J Bumrah,JJ Bumrah
Shafali Verma,India,Shafali Verma,Shafali Verma,S Verma,Shafali Verma
Gurkeerat Singh,India,Gurkeerat Singh,Gurkeerat Singh Mann,G Singh,GS Mann
A Sharma,India,Ajay Sharma,Ajay Kumar Sharma,A Sharma,AK Sharma
T Bhatia,India,Taniya Bhatia,Taniya Bhatia,T Bhatia,Taniya Bhatia
DB Sharma,India,Deepti Sharma,Deepti Bhagwan Sharma,D Sharma,DB Sharma
S Kaul,India,Siddarth Kaul,Siddarth Kaul,S Kaul,Siddarth Kaul
G Gambhir,India,Gautam Gambhir,Gautam Gambhir,G Gambhir,Gautam Gambhir
HK Badani,India,Hemang Badani,Hemang Kamal Badani,H Badani,HK Badani
P Roy,India,Pankaj Roy,Pankaj Roy,P Roy,Pankaj Roy
Poonam Yadav,India,Poonam Yadav,Poonam Yadav,P Yadav,Poonam Yadav
E Bisht,India,Ekta Bisht,0,E Bisht,0
NV Ojha,India,Naman Ojha,Naman Vinaykumar Ojha,N Ojha,NV Ojha
SS Iyer,India,Shreyas Iyer,Shreyas Santosh Iyer,S Iyer,SS Iyer
V Shankar,India,Vijay Shankar,Vijay Shankar,V Shankar,Vijay Shankar
VRV Singh,India,V. R. V. Singh,Vikram Raj Vir Singh,V R.,VRV Singh
P Dimri,India,Preeti Dimri,Preeti Dharmanand Dimri,P Dimri,PD Dimri
D Hemalatha,India,Dayalan Hemalatha,Dayalan Hemalatha,D Hemalatha,Dayalan Hemalatha
VR Aaron,India,Varun Aaron,Varun Raymond Aaron,V Aaron,VR Aaron
Tilak Varma,India,Tilak Varma,Namboori Thakur Tilak Varma,T Varma,NTT Varma
Z Khan,India,Zaheer Khan,Zaheer Khan,Z Khan,Zaheer Khan
FY Fazal,India,Faiz Fazal,Faiz Yakub Fazal,F Fazal,FY Fazal
Shubman Gill,India,Shubman Gill,Shubman Gill,S Gill,Shubman Gill
MS Gony,India,Manpreet Gony,Manpreet Singh Gony,M Gony,MS Gony
VVS Laxman,India,V. V. S. Laxman,Vangipurapu Venkata Sai Laxman,V V.,VVS Laxman
R Sharma,India,Rohit Sharma,Rohit Gurunath Sharma,R Sharma,RG Sharma
GH Vihari,India,Hanuma Vihari,Gade Hanuma Vihari,H Vihari,GH Vihari
A Rawat,India,Asha Rawat,Asha Rawat,A Rawat,Asha Rawat
Renuka Singh,India,Renuka Singh,Renuka Singh Thakur,R Singh,RS Thakur
L Balaji,India,Lakshmipathy Balaji,Lakshmipathy Balaji,L Balaji,Lakshmipathy Balaji
RV Uthappa,India,Robin Uthappa,Robin Venu Uthappa,R Uthappa,RV Uthappa
KV Sharma,India,Karn Sharma,Karn Vinod Sharma,K Sharma,KV Sharma
N Tanwar,India,Neha Tanwar,Neha Tanwar ,N Tanwar,NT 
S Sreesanth,India,S. Sreesanth,Shanthakumaran Nair Sreesanth,S Sreesanth,SN Sreesanth
S Tyagi,India,Sudeep Tyagi,Sudeep Tyagi,S Tyagi,Sudeep Tyagi
A Das,India,Archana Das,Archana Das,A Das,Archana Das
SK Yadav,India,Suryakumar Yadav,Surya Kumar Yadav,S Yadav,SK Yadav
P Hingorani,Romania,Pratham Hingorani,0,P Hingorani,0
S Moise,Romania,Sorina Moise,0,S Moise,0
Asif Bevinje,Romania,Asif Bevinje,0,A Bevinje,0
Abdul Shakoor,Romania,Abdul Shakoor,0,A Shakoor,0
Waqar Abbasi,Romania,Waqar Abbasi,0,W Abbasi,0
RL Blake,Romania,Rebecca Blake,Rebecca Layla Blake,R Blake,RL Blake
R Athapaththu,Romania,Ravindra Athapaththu,0,R Athapaththu,0
S Periyalwar,Romania,Sivakumar Periyalwar,0,S Periyalwar,0
G Manan,Romania,Gohar Manan,0,G Manan,0
Baljinder Singh,Romania,Baljinder Singh,0,B Singh,0
Ijaz Hussain,Romania,Ijaz Hussain,0,I Hussain,0
Sami Ullah,Romania,Sami Ullah,Pavel Florin,S Ullah,Pavel Florin
R Andreea,Romania,Raducu Andreea,0,R Andreea,0
M Chereches,Romania,Madalina Chereches,0,M Chereches,0
C Cirlig,Romania,Cristina Cirlig,0,C Cirlig,0
V Saini,Romania,Vasu Saini,0,V Saini,0
C Zavoiu,Romania,Cosmin Zavoiu,0,C Zavoiu,0
Sukhkaran Sahi,Romania,Sukhkaran Sahi,0,S Sahi,0
Dharmendra Manani,Romania,Dharmendra Manani,0,D Manani,0
M Marin,Romania,Madalina Marin,0,M Marin,0
P Masih,Romania,Patras Masih,0,P Masih,0
Gaurav Mishra,Romania,Gaurav Mishra,0,G Mishra,0
M Gherasim,Romania,Marian Gherasim,0,M Gherasim,0
S Nadigotla,Romania,Satvik Nadigotla,0,S Nadigotla,0
R Kumar,Romania,Rajesh Kumar,0,R Kumar,0
R Satheesan,Romania,Ramesh Satheesan,0,R Satheesan,0
S Vashisht,Romania,Shantanu Vashisht,0,S Vashisht,0
Taranjeet Singh,Romania,Taranjeet Singh,0,T Singh,0
P Florin,Romania,Pavel Florin,Pavel Florin,P Florin,Pavel Florin
Rohit Kumar,Romania,Rohit Kumar,0,R Kumar,0
M Koli,Romania,Manmeet Koli,0,M Koli,0
Aftab Kayani,Romania,Aftab Kayani,0,A Kayani,0
A Dineshi,Romania,Arumadura Dineshi,0,A Dineshi,0
P Danci,Romania,Petre Danci,0,P Danci,0
S Thakur,Romania,Sudeep Thakur,0,S Thakur,0
M Prasanna,Romania,Mahesh Prasanna,0,M Prasanna,0
Luca Petre,Romania,Luca Petre,0,L Petre,0
C Sanda,Romania,Cristiana Sanda,0,C Sanda,0
I Muntean,Romania,Iuliana Muntean,0,I Muntean,0
S Tudorache,Romania,Stefania Tudorache,0,S Tudorache,0
Wang Meng,China,Wang Meng,Wang Meng,W Meng,Wang Meng
Chen Zhuo Yue,China,Chen Zhuo Yue,0,C Zhuo,0
M Zhu,China,Mingyue Zhu,0,M Zhu,0
Zhuang Zelin,China,Zhuang Zelin,0,Z Zelin,0
L Jie,China,Liu Jie,0,L Jie,0
Zhang Mei,China,Zhang Mei,0,Z Mei,0
Yin Chenhao,China,Yin Chenhao,0,Y Chenhao,0
Zhao Tianle,China,Zhao Tianle,0,Z Tianle,0
Zi Mei,China,Zi Mei,0,Z Mei,0
Sun Meng Yao,China,Sun Meng Yao,0,S Meng,0
Wang Liuyang,China,Wang Liuyang,0,W Liuyang,0
Wang Qi,China,Wang Qi,0,W Qi,0
Zhang Chan,China,Zhang Chan,Zhang Chan,Z Chan,Zhang Chan
Xu Qian,China,Xu Qian,0,X Qian,0
Xiuli Jin,China,Xiuli Jin,0,X Jin,0
Ma Qiancheng,China,Ma Qiancheng,0,M Qiancheng,0
Zong Yuechao,China,Zong Yuechao,0,Z Yuechao,0
Qing Yi,China,Qing Yi,0,Q Yi,0
Wu Juan,China,Wu Juan,0,W Juan,0
Mengting Liu,China,Mengting Liu,0,M Liu,0
Yuanyuan Cai,China,Yuanyuan Cai,The 2023 Women's East Asia Cup was a Twenty20 International,Y Cai,T2WEACwaT International
Rongyu Zhao,China,Rongyu Zhao,The 2023 Women's East Asia Cup was a Twenty20 International,R Zhao,T2WEACwaT International
Chen Yue,China,Chen Yue,0,C Yue,0
Wei Guo Lei,China,Wei Guo Lei,0,W Guo,0
Zhang Yanling,China,Zhang Yanling,0,Z Yanling,0
Xie Kunkun,China,Xie Kunkun,0,X Kunkun,0
Han Lili,China,Han Lili,Han Lili,H Lili,Han Lili
Huang Zhuo,China,Huang Zhuo,Huang Zhuo,H Zhuo,Huang Zhuo
Zhang Xiangxue,China,Zhang Xiangxue,0,Z Xiangxue,0
Zheng Lili,China,Zheng Lili,0,Z Lili,0
F Song,China,Fengfeng Song,0,F Song,0
Wenjing Yin,China,Wenjing Yin,0,W Yin,0
Tian Sen Qun,China,Tian Sen Qun,0,T Sen,0
Chen Xinyu,China,Chen Xinyu,0,C Xinyu,0
Wang Luo Wanyu,China,Wang Luo Wanyu,0,W Luo,0
Luo Shilin,China,Luo Shilin,0,L Shilin,0
Deng Jinqi,China,Deng Jinqi,0,D Jinqi,0
C Zhou,China,Caiyun Zhou,0,C Zhou,0
JAD Lawrenson,Jersey,Josh Lawrenson,Joshua Anthony David Lawrenson,J Lawrenson,JAD Lawrenson
C Bisson,Jersey,Corey Bisson,Corey Bisson,C Bisson,Corey Bisson
B Ward,Jersey,Benjamin Ward,Benjamin Ward,B Ward,Benjamin Ward
L Greig,Jersey,Lily Greig,0,L Greig,0
A Aikenhead,Jersey,Aimee Aikenhead,0,A Aikenhead,0
T Smith,Jersey,Trinity Smith,Timothy Aiden Smith,T Smith,TA Smith
F Copley,Jersey,Florrie Copley,0,F Copley,0
G Wetherall,Jersey,Grace Wetherall,0,G Wetherall,0
E Duffy,Jersey,Erin Duffy,0,E Duffy,0
F Tanguy,Jersey,Florence Tanguy,0,F Tanguy,0
J Sumerauer,Jersey,Julius Sumerauer,Julius Sumerauer,J Sumerauer,Julius Sumerauer
JW Jenner,Jersey,Jonty Jenner,Jonty William Jenner,J Jenner,JW Jenner
C Miles,Jersey,Charlie Miles,0,C Miles,0
D Birrell,Jersey,Daniel Birrell,Daniel Birrell,D Birrell,Daniel Birrell
C Brennan,Jersey,Charlie Brennan,0,C Brennan,0
NJ Ferraby,Jersey,Nick Ferraby,Nicholas John Ferraby,N Ferraby,NJ Ferraby
E Gouge,Jersey,Erin Gouge,0,E Gouge,0
G Mallett,Jersey,Georgia Mallett,0,G Mallett,0
R Bowley,Jersey,Rosemary Bowley,0,R Bowley,0
S Hanson,Jersey,Sophia Hanson,0,S Hanson,0
H Carlyon,Jersey,Harrison Carlyon,Harrison Carlyon,H Carlyon,Harrison Carlyon
M Maguire,Jersey,Mia Maguire,0,M Maguire,0
A Merritt,Jersey,Analise Merritt,0,A Merritt,0
S Chinawa,Malawi,Sophina Chinawa,0,S Chinawa,0
A Limdawala,Malawi,Aaftab Limdawala,0,A Limdawala,0
T Katunga,Malawi,Thandi Katunga,0,T Katunga,0
Irfan Bhima,Malawi,Irfan Bhima,0,I Bhima,0
V Phiri,Malawi,Vanessa Phiri,0,V Phiri,0
M Mwamadi,Malawi,Michael Mwamadi,0,M Mwamadi,0
M Mabvuka,Malawi,Mary Mabvuka,0,M Mabvuka,0
L Malino,Malawi,Lucy Malino,0,L Malino,0
A Kansonkho,Malawi,Alick Kansonkho,0,A Kansonkho,0
M Abdulla,Malawi,Mohamed Abdulla,0,M Abdulla,0
D Ndipo,Malawi,Dalitso Ndipo,0,D Ndipo,0
F Nkhoma,Malawi,Francis Nkhoma,0,F Nkhoma,0
T Chabila,Malawi,Tricia Chabila,0,T Chabila,0
D Kansonkho,Malawi,Donnex Kansonkho,0,D Kansonkho,0
B Ndipo,Malawi,Brenda Ndipo,0,B Ndipo,0
T Luka,Malawi,Triphonia Luka,0,T Luka,0
C Chete,Malawi,Chisomo Chete,0,C Chete,0
Muhammad Khurram,Malawi,Muhammad Khurram,0,M Khurram,0
Sami Sohail,Malawi,Sami Sohail,Sami Sohail,S Sohail,Sami Sohail
F Malefula,Malawi,Febbe Malefula,0,F Malefula,0
D Jakiel,Malawi,Daniel Jakiel,Daniel Jakiel,D Jakiel,Daniel Jakiel
S Hussein,Malawi,Shahida Hussein,0,S Hussein,0
S Dzimau,Malawi,Shalon Dzimau,0,S Dzimau,0
D Dzimau,Malawi,Dalida Dzimau,0,D Dzimau,0
B Pondani,Malawi,Blessings Pondani,0,B Pondani,0
G Kansonkho,Malawi,Gift Kansonkho,0,G Kansonkho,0
S Kananji,Malawi,Sugeni Kananji,0,S Kananji,0
M Kudimba,Malawi,Mercy Kudimba,0,M Kudimba,0
T Mpandakwaya,Malawi,Tadala Mpandakwaya,0,T Mpandakwaya,0
M Dailesi,Malawi,Meria Dailesi,0,M Dailesi,0
M Choamba,Malawi,Mike Choamba,0,M Choamba,0
Sheikh Rasik,Hungary,Sheikh Rasik,0,S Rasik,0
Ali Yalmaz,Hungary,Ali Yalmaz,0,A Yalmaz,0
A Prashar,Hungary,Abhitesh Prashar,0,A Prashar,0
M Fontaine,Hungary,Mark Fontaine,0,M Fontaine,0
Abhijeet Ahuja,Hungary,Abhijeet Ahuja,0,A Ahuja,0
Zeeshan Kukikhel,Hungary,Zeeshan Kukikhel,0,Z Kukikhel,0
Sanjay Kumar,Hungary,Sanjay Kumar,0,S Kumar,0
S Ashwathnarayana,Hungary,Satyadeep Ashwathnarayana,0,S Ashwathnarayana,0
Akramullah Malikzada,Hungary,Akramullah Malikzada,0,A Malikzada,0
V Ravindran,Hungary,Vinoth Ravindran,0,V Ravindran,0
Yadwinder Singh,Hungary,Yadwinder Singh,0,Y Singh,0
Abbas Ghani,Hungary,Abbas Ghani,0,A Ghani,0
Ali Farasat,Hungary,Ali Farasat,0,A Farasat,0
Gabor Torok,Hungary,Gabor Torok,0,G Torok,0
A Kheterpal,Hungary,Abishek Kheterpal,0,A Kheterpal,0
Zahir Mohammed,Hungary,Zahir Mohammed,0,Z Mohammed,0
Khaibar Deldar,Hungary,Khaibar Deldar,0,K Deldar,0
Abhishek Ahuja,Hungary,Abhishek Ahuja,0,A Ahuja,0
S Koppolu,Slovenia,Sudhakar Koppolu,0,S Koppolu,0
Shahid Arshad,Slovenia,Shahid Arshad,0,S Arshad,0
Muhammad Siddiqui,Slovenia,Muhammad Siddiqui,0,M Siddiqui,0
P Pustoslemsek,Slovenia,Primoz Pustoslemsek,0,P Pustoslemsek,0
Ayyaz Qureshi,Slovenia,Ayyaz Qureshi,0,A Qureshi,0
Waqar Khan,Slovenia,Waqar Khan,0,W Khan,0
Taher Muhammad,Slovenia,Taher Muhammad,0,T Muhammad,0
Ramanjot Singh,Slovenia,Ramanjot Singh,0,R Singh,0
Mazhar Khan,Slovenia,Mazhar Khan,0,M Khan,0
Awais Ikram,Slovenia,Awais Ikram,0,A Ikram,0
Jaswinder Singh,Malta,Jaswinder Singh,0,J Singh,0
Yash Singh,Malta,Yash Singh,0,Y Singh,0
Aaftab Alam Khan,Malta,Aaftab Alam Khan,0,A Alam,0
B George,Malta,Basil George,0,B George,0
Imran Ameer,Malta,Imran Ameer,0,I Ameer,0
Zeeshan Khan,Malta,Zeeshan Khan,0,Z Khan,0
S Khatri,Malta,Sushma Khatri,0,S Khatri,0
G Thakur,Malta,Gopal Thakur,0,G Thakur,0
D Marks,Malta,David Marks,0,D Marks,0
J Shaju,Malta,Justin Shaju,0,J Shaju,0
S Cholasseri,Malta,Shamla Cholasseri,0,S Cholasseri,0
Bibina Baby,Malta,Bibina Baby,0,B Baby,0
Jaspal Singh,Malta,Jaspal Singh,0,J Singh,0
T Calingin,Malta,Tracy Calingin,0,T Calingin,0
B Arora,Malta,Bikram Arora,0,B Arora,0
Fazil Rahman,Malta,Fazil Rahman,0,F Rahman,0
Jaison Jerome,Malta,Jaison Jerome,0,J Jerome,0
Amar Sharma,Malta,Amar Sharma,0,A Sharma,0
E Mathew,Malta,Eldhose Mathew,0,E Mathew,0
M Macelli,Malta,Mae Macelli,0,M Macelli,0
Ravinder Singh,Malta,Ravinder Singh,0,R Singh,0
N Khanna,Malta,Niraj Khanna,0,N Khanna,0
A Rameshan,Malta,Anupama Rameshan,0,A Rameshan,0
Jitesh Patel,Malta,Jitesh Patel,0,J Patel,0
P Bhandari,Malta,Prativa Bhandari,0,P Bhandari,0
Fanyan Mughal,Malta,Fanyan Mughal,0,F Mughal,0
Haroon Mughal,Malta,Haroon Mughal,0,H Mughal,0
Waqas Ahmad,Malta,Waqas Ahmad,0,W Ahmad,0
G Chaturvedi,Malta,Gopal Chaturvedi,0,G Chaturvedi,0
Bilal Muhammad,Malta,Bilal Muhammad,0,B Muhammad,0
A Bishnoi,Malta,Ashok Bishnoi,0,A Bishnoi,0
C Sammut,Malta,Clarire Sammut,0,C Sammut,0
S Iushchenko,Malta,Svitlana Iushchenko,0,S Iushchenko,0
C Sudarsanan,Malta,Chanjal Sudarsanan,0,C Sudarsanan,0
Wasim Ali,Oman,Wasim Ali,Wasim Ali,W Ali,Wasim Ali
RJ Ranpura,Oman,Rajesh Ranpura,Rajeshkumar Jagdishchandra Ranpura,R Ranpura,RJ Ranpura
Nestor Dhamba,Oman,Nestor Dhamba,Nestor Dhamba,N Dhamba,Nestor Dhamba
Amir Ali,Oman,Amir Ali,0,A Ali,0
Zeeshan Siddiqui,Oman,Zeeshan Siddiqui,Zeeshan Ahmed Siddiqui,Z Siddiqui,ZA Siddiqui
S Channa,Oman,Saya Channa,0,S Channa,0
Fayyaz Butt,Oman,Fayyaz Butt,Fayyaz Butt,F Butt,Fayyaz Butt
Badal Singh,Oman,Badal Singh,Badal Singh,B Singh,Badal Singh
N Jagadish,Oman,Nikhita Jagadish,0,N Jagadish,0
Aamir Kaleem,Oman,Aamir Kaleem,Syed Aamir Kaleem,A Kaleem,SA Kaleem
Shoaib Khan,Oman,Shoaib Khan,Shoaib Khan,S Khan,Shoaib Khan
Jay Odedra,Oman,Jay Odedra,Jay Odedra,J Odedra,Jay Odedra
Rafiullah,Oman,Rafiullah,0,Rafiullah,0
Alifiya Sayed,Oman,Alifiya Sayed,0,A Sayed,0
Zeeshan Maqsood,Oman,Zeeshan Maqsood,Zeeshan Maqsood,Z Maqsood,Zeeshan Maqsood
Adnan Ilyas,Oman,Adnan Ilyas,Aqib Ilyas Sulehri,A Ilyas,AI Sulehri
Khurram Nawaz,Oman,Khurram Nawaz,Khurram Nawaz,K Nawaz,Khurram Nawaz
Afida Afthab,Oman,Afida Afthab,0,A Afthab,0
Suraj Kumar,Oman,Suraj Kumar,Suraj Kumar,S Kumar,Suraj Kumar
Sufyan Mehmood,Oman,Sufyan Mehmood,Sufyan Mehmood,S Mehmood,Sufyan Mehmood
Kaleemullah,Oman,Kaleemullah,Kaleemullah,Kaleemullah,Kaleemullah
Aqib Ilyas,Oman,Aqib Ilyas,Aqib Ilyas Sulehri,A Ilyas,AI Sulehri
VS Wategaonkar,Oman,Vaibhav Wategaonkar,Vaibhav Shridhar Wategaonkar,V Wategaonkar,VS Wategaonkar
Sultan Ahmed,Oman,Sultan Ahmed,Sultan Ahmed,S Ahmed,Sultan Ahmed
AA Shafique,Oman,Adeel Shafique,Adeel Ahmad Shafique,A Shafique,AA Shafique
Shakeel Ahmed,Oman,Shakeel Ahmed,0,S Ahmed,0
Jatinder Singh,Oman,Jatinder Singh,Jatinder Singh,J Singh,Jatinder Singh
S Shrivastava,Oman,Samay Shrivastava,0,S Shrivastava,0
Khawar Ali,Oman,Khawar Ali,Khawar Ali,K Ali,Khawar Ali
Javed Hira,Oman,Javed Hira,This is a list of Oman women Twenty20 International cricketers. A Women's Twenty20 International,J Hira,TialoOwTIcAWT International
A Dcosta,Oman,Amanda Dcosta,0,A Dcosta,0
Sameera Khan,Oman,Sameera Khan,This is a list of Oman women Twenty20 International cricketers. A Women's Twenty20 International,S Khan,TialoOwTIcAWT International
Y Verma,Oman,Yashika Verma,0,Y Verma,0
AV Lalcheta,Oman,Ajay Lalcheta,Ajay Vrajlal Lalcheta,A Lalcheta,AV Lalcheta
Mohammad Nadeem,Oman,Mohammad Nadeem,Mohammad Nadeem,M Nadeem,Mohammad Nadeem
Sandeep Goud,Oman,Sandeep Goud,Sandeep Goud,S Goud,Sandeep Goud
Javed Hina,Oman,Javed Hina,This is a list of Oman women Twenty20 International cricketers. A Women's Twenty20 International,J Hina,TialoOwTIcAWT International
B Shetty,Oman,Bhakti Shetty,This is a list of Oman women Twenty20 International cricketers. A Women's Twenty20 International,B Shetty,TialoOwTIcAWT International
Naseem Khushi,Oman,Naseem Khushi,Naseem Khushi,N Khushi,Naseem Khushi
Bilal Khan,Oman,Bilal Khan,Bilal Khan,B Khan,Bilal Khan
A Poulose,Oman,Arun Poulose,Arun Poulose,A Poulose,Arun Poulose
V Jesrani,Oman,Vaishali Jesrani,Vaishali Jesrani,V Jesrani,Vaishali Jesrani
M Ansari,Oman,Munis Ansari,Munis Ansari,M Ansari,Munis Ansari
S Nair,Oman,Snehal Nair,0,S Nair,0
Mehran Khan,Oman,Mehran Khan,Mehran Khan,M Khan,Mehran Khan
A Maregwede,Zimbabwe,Alester Maregwede,Alester Maregwede,A Maregwede,Alester Maregwede
HK Olonga,Zimbabwe,Henry Olonga,Henry Khaaba Olonga,H Olonga,HK Olonga
J Nkomo,Zimbabwe,Josephine Nkomo,Josephine Nkomo,J Nkomo,Josephine Nkomo
H Masakadza,Zimbabwe,Hamilton Masakadza,Hamilton Masakadza,H Masakadza,Hamilton Masakadza
AC Mushangwe,Zimbabwe,Anesu Mushangwe,Anesu Catherine Mushangwe,A Mushangwe,AC Mushangwe
EC Rainsford,Zimbabwe,Ed Rainsford,Edward Charles Rainsford,E Rainsford,EC Rainsford
HH Streak,Zimbabwe,Heath Streak,Heath Hilton Streak,H Streak,HH Streak
D Myers,Zimbabwe,Dion Myers,Dion Myers,D Myers,Dion Myers
GA Lamb,Zimbabwe,Greg Lamb,Gregory Arthur Lamb,G Lamb,GA Lamb
T Panyangara,Zimbabwe,Tinashe Panyangara,Tinashe Panyangara,T Panyangara,Tinashe Panyangara
SC Williams,Zimbabwe,Sean Williams,Sean Colin Williams,S Williams,SC Williams
RW Chakabva,Zimbabwe,Regis Chakabva,Regis Wiriranai Chakabva,R Chakabva,RW Chakabva
T Marumani,Zimbabwe,Tadiwanashe Marumani,Tadiwanashe Marumani,T Marumani,Tadiwanashe Marumani
SF Mire,Zimbabwe,Solomon Mire,Solomon Farai Mire,S Mire,SF Mire
L Phiri,Zimbabwe,Loryn Phiri,Loryn Phiri,L Phiri,Loryn Phiri
AG Cremer,Zimbabwe,Graeme Cremer,Alexander Graeme Cremer,G Cremer,AG Cremer
E Chigumbura,Zimbabwe,Elton Chigumbura,Elton Chigumbura,E Chigumbura,Elton Chigumbura
V Sibanda,Zimbabwe,Vusi Sibanda,"Vusimuzi ""Vusi"" Sibanda",V Sibanda,"V"" Sibanda"
